"SITE_ID","DOC_Median","TN_Median","TP_Median"
"NLA06608-1141",3.23,824,45
"NLA06608-1143",2.08,768,59
"NLA06608-1145",4.29,724,60
"NLA06608-1147",4.52,1414,775
"NLA06608-1148",68.06,6934,242
"NLA06608-1150",8.29,500,11
"NLA06608-1151",4.03,648,129
"NLA06608-1153",0.96,224,3
"NLA06608-1155",26.14,3069,122
"NLA06608-1162",9.26,541,8
"NLA06608-1163",10.23,778,11
"NLA06608-1164",6.74,424,23
"NLA06608-1166",2.05,197,1
"NLA06608-1167",3.83,461,5
"NLA06608-1170",2.61,240,6
"NLA06608-1172",3.51,241,4
"NLA06608-1174",6.07,298,4
"NLA06608-1175",10.58,1328,69
"NLA06608-1177",3.99,328,24
"NLA06608-1179",15.76,2741,133
"NLA06608-1181",6,251,9
"NLA06608-1183",2.19,133,3
"NLA06608-1185",15.41,2869,62
"NLA06608-1189",4.17,281,9
"NLA06608-1190",2.07,96,3
"NLA06608-1191",8.24,984,152
"NLA06608-1195",7.28,753,26
"NLA06608-1198",6.23,611,9
"NLA06608-1199",4.08,836,44
"NLA06608-1204",3.35,230,10
"NLA06608-1206",15.82,834,17
"NLA06608-1207",3.07,240,11
"NLA06608-1208",6.48,1340,148
"NLA06608-1209",5.29,437,22
"NLA06608-1210",49.03,4184,75
"NLA06608-1217",5.6,547,64
"NLA06608-1219",26.7,3794,99
"NLA06608-1220",2.87,478,31
"NLA06608-1222",2.75,391,12
"NLA06608-1223",12.85,4053,422
"NLA06608-1224",5.63,616,23
"NLA06608-1227",4.39,487,8
"NLA06608-1232",5.87,483,12
"NLA06608-1236",5.32,504,52
"NLA06608-1238",2.6,131,1
"NLA06608-1239",16.85,3309,117
"NLA06608-1240",8.57,771,141
"NLA06608-1241",5.63,526,34
"NLA06608-1242",9.14,849,11
"NLA06608-1243",7.45,949,42
"NLA06608-1244",21.59,3772,253
"NLA06608-1245",15.19,596,25
"NLA06608-1255",37.6,13825,1326
"NLA06608-1256",3.41,346,20
"NLA06608-1258",10.44,712,16
"NLA06608-1259",1.96,129,9
"NLA06608-1261",9.71,1014,32
"NLA06608-1262",12.96,788,33
"NLA06608-1263",3.42,453,33
"NLA06608-1266",10.4,2228,933
"NLA06608-1268",5.42,990,69
"NLA06608-1269",5.66,1911,646
"NLA06608-1270",0.65,223,15
"NLA06608-1271",11.21,3534,604
"NLA06608-1273",6.11,2297,197
"NLA06608-1274",5.32,285,4
"NLA06608-1278",15.55,1965,303
"NLA06608-1279",9.69,496,40
"NLA06608-1281",5.06,400,4
"NLA06608-1283",14.24,1012,68
"NLA06608-1284",3.38,180,5
"NLA06608-1288",5.2,619,86
"NLA06608-1292",3.96,395,17
"NLA06608-1295",3.69,740,138
"NLA06608-1297",3.89,1235,17
"NLA06608-1300",4.48,229,5
"NLA06608-1303",12.08,2338,817
"NLA06608-1312",3.76,287,5
"NLA06608-1316",10.5,2606,269
"NLA06608-1319",24.17,4791,241
"NLA06608-1321",2.53,168,10
"NLA06608-1323",3.12,233,9
"NLA06608-1326",8.51,854,24
"NLA06608-1329",2.33,181,9
"NLA06608-1332",6.49,932,148
"NLA06608-1333",3.13,166,3
"NLA06608-1334",3.5,314,7
"NLA06608-1336",6.51,1136,94
"NLA06608-1338",43.21,4316,182
"NLA06608-1339",15.91,3372,184
"NLA06608-1342",12.86,279,12
"NLA06608-1344",5.87,419,27
"NLA06608-1346",2.19,125,3
"NLA06608-1347",7.68,551,12
"NLA06608-1348",2.37,396,5
"NLA06608-1349",8.16,804,30
"NLA06608-1354",3.51,480,6
"NLA06608-1355",5.305,523,4.5
"NLA06608-1356",4.98,416,21
"NLA06608-1358",5.78,323.5,9
"NLA06608-1359",4.53,1166,108
"NLA06608-1360",4.41,734,60
"NLA06608-1364",4.08,2072,213
"NLA06608-1365",2.42,257,13
"NLA06608-1367",22.08,5338,242
"NLA06608-1368",6.68,1180,110
"NLA06608-1369",3.57,679,50
"NLA06608-1370",9.67,1063,39
"NLA06608-1372",4.17,878,113
"NLA06608-1375",5.73,2169,79
"NLA06608-1376",2.69,346,18
"NLA06608-1377",2.99,101,8
"NLA06608-1380",5.7,524,21
"NLA06608-1383",12.4,1444,35
"NLA06608-1387",7.03,994,25
"NLA06608-1389",3.46,2919,53
"NLA06608-1390",7.24,553,15
"NLA06608-1391",8.09,1360,172
"NLA06608-1396",2.2,255,19
"NLA06608-1397",15.57,3559,367
"NLA06608-1398",19.39,624,24
"NLA06608-1401",3.5,494,29
"NLA06608-1403",5.02,389,7
"NLA06608-1413",14.8,1614,25
"NLA06608-1414",5.08,319,17
"NLA06608-1417",2.64,251,7
"NLA06608-1420",8.8,1154,112
"NLA06608-1421",9.45,1100,41
"NLA06608-1425",9.02,468,22
"NLA06608-1426",7.87,557,35
"NLA06608-1432",8.17,754,91
"NLA06608-1434",5.36,458,5
"NLA06608-1435",7.51,1260,50
"NLA06608-1436",4.75,478,20
"NLA06608-1439",3.48,273,12
"NLA06608-1445",31.07,5009,2670
"NLA06608-1446",2.14,228,4
"NLA06608-1447",7.36,760,13
"NLA06608-1450",4.65,469,10
"NLA06608-1454",16.43,2341,125
"NLA06608-1455",6.82,429,37
"NLA06608-1460",7.79,781,22
"NLA06608-1461",3.42,708,47
"NLA06608-1462",13.49,1404,450
"NLA06608-1465",1.73,497,5
"NLA06608-1469",12.85,576,112
"NLA06608-1473",2.79,181,8
"NLA06608-1476",7.57,1891,183
"NLA06608-1481",1.55,135,3
"NLA06608-1482",9.5,1099,80
"NLA06608-1483",5.96,274,13
"NLA06608-1484",1.34,105,11
"NLA06608-1487",6.22,1071,61
"NLA06608-1488",12.25,3409,160
"NLA06608-1489",7.11,721,18
"NLA06608-1492",5.92,758,41
"NLA06608-1496",4.36,356,16
"NLA06608-1499",5.61,483,17
"NLA06608-1504",4.37,1199,68
"NLA06608-1508",18.22,1680,313
"NLA06608-1510",25.67,2440,653
"NLA06608-1511",12.87,1446,373
"NLA06608-1515",6.58,845,33
"NLA06608-1517",3.47,339,14
"NLA06608-1521",6.56,1351,113
"NLA06608-1524",6.37,968,157
"NLA06608-1527",9.67,5191,587
"NLA06608-1529",5.49,649,55
"NLA06608-1532",4.05,6203,59
"NLA06608-1537",3.96,138,8
"NLA06608-1538",3.46,252,1
"NLA06608-1544",14.74,2228,69
"NLA06608-1556",3.32,474,19
"NLA06608-1558",4.4,280,8
"NLA06608-1560",9.54,852,42
"NLA06608-1561",2.89,263,10
"NLA06608-1562",2.82,348,16
"NLA06608-1564",6.04,1159,161
"NLA06608-1568",6.34,760,115
"NLA06608-1569",5.66,978,22
"NLA06608-1572",3.83,420,26
"NLA06608-1575",16.71,2503,215
"NLA06608-1576",5.34,1344,255
"NLA06608-1577",7.4,484,16
"NLA06608-1578",12.53,1062,110
"NLA06608-1579",5.94,501,7
"NLA06608-1586",4.76,369,7
"NLA06608-1593",10.17,746,126
"NLA06608-1595",5.65,392,18
"NLA06608-1596",114.16,26100,1491
"NLA06608-1600",9.86,1011,63
"NLA06608-1602",3.84,474,18
"NLA06608-1608",13.45,498,64
"NLA06608-1610",0.65,48,3
"NLA06608-1617",2.98,239,45
"NLA06608-1623",13.64,1231,134
"NLA06608-1626",2.37,623,30
"NLA06608-1630",8.13,806,57
"NLA06608-1631",9.37,1209,130
"NLA06608-1633",3.23,366,19
"NLA06608-1637",4.46,440,32
"NLA06608-1638",0.7,50,6
"NLA06608-1640",5.01,777,90
"NLA06608-1641",6.51,845,185
"NLA06608-1643",5.5,488,5
"NLA06608-1652",2.45,848,99
"NLA06608-1654",6.46,354,6
"NLA06608-1655",43.59,12241,896
"NLA06608-1668",2.28,269,18
"NLA06608-1672",6.64,510,15
"NLA06608-1674",10.07,1043,35
"NLA06608-1675",6.26,521,16
"NLA06608-1679",10.03,366,8
"NLA06608-1684",3.85,475,35
"NLA06608-1687",7.23,918,441
"NLA06608-1690",4.12,317,7
"NLA06608-1695",1.18,216,19
"NLA06608-1703",10.88,1949,304
"NLA06608-1704",5.98,749,42
"NLA06608-1706",5.65,563,6
"NLA06608-1707",4.6,723,8
"NLA06608-1711",1.93,190,12
"NLA06608-1715",4.87,582,27
"NLA06608-1717",1.37,79,3
"NLA06608-1719",38.6,8803,441
"NLA06608-1723",10.81,3516,1537
"NLA06608-1724",6.61,1282,55
"NLA06608-1733",17.81,3516,45
"NLA06608-1735",9.32,679,60
"NLA06608-1736",7.21,1453,53
"NLA06608-1739",1.97,157,7
"NLA06608-1740",5.62,949,67
"NLA06608-1741",4.82,2156,124
"NLA06608-1742",3.48,244,7
"NLA06608-1748",2.82,131,4
"NLA06608-1753",2.88,267,6
"NLA06608-1755",6.25,646,30
"NLA06608-1758",12.03,892,8
"NLA06608-1771",8.29,603,10
"NLA06608-1775",5.05,548,74
"NLA06608-1781",4.15,789,58
"NLA06608-1782",6.34,606,32
"NLA06608-1789",1.71,501,1
"NLA06608-1791",3.64,401,5
"NLA06608-1793",1.69,139,9
"NLA06608-1800",11.69,604,50
"NLA06608-1802",6.03,536,18
"NLA06608-1804",5.43,699,120
"NLA06608-1808",11.86,628,48
"NLA06608-1810",3.24,611,69
"NLA06608-1811",16.47,1558,27
"NLA06608-1812",2.44,303,61
"NLA06608-1818",1.49,90,7
"NLA06608-1821",5.69,2709,255
"NLA06608-1824",4.35,824,56
"NLA06608-1825",12.15,839,45
"NLA06608-1835",6.31,531,16
"NLA06608-1836",13.93,2766,246
"NLA06608-1839",2.93,420,20
"NLA06608-1840",7.03,1361,216
"NLA06608-1851",3.15,228,23
"NLA06608-1856",29.9,3159,1129
"NLA06608-1857",3.31,198,1
"NLA06608-1861",11.31,1216,75
"NLA06608-1862",5.71,1058,520
"NLA06608-1863",4.77,506,32
"NLA06608-1866",2.36,232,11
"NLA06608-1867",25.76,2091,74
"NLA06608-1868",6.23,676,21
"NLA06608-1871",1.3,139,5
"NLA06608-1873",0.76,37,1
"NLA06608-1874",3.62,374,26
"NLA06608-1879",18.99,4075,328
"NLA06608-1884",4.01,2334,39
"NLA06608-1893",5.9,581,302
"NLA06608-1894",0.59,162,36
"NLA06608-1906",3.7,368,14
"NLA06608-1908",2.62,185,10
"NLA06608-1910",18.15,830,37
"NLA06608-1930",1.35,178,31
"NLA06608-1936",5.61,788,89
"NLA06608-1948",26.21,2981,486
"NLA06608-1953",2.91,226,15
"NLA06608-1958",0.98,18,10
"NLA06608-1959",13.84,1494,493
"NLA06608-1960",4.53,403,108
"NLA06608-1968",10.49,2076,255
"NLA06608-1975",5.83,739,18
"NLA06608-1985",1.28,27,3
"NLA06608-1989",3.72,658,71
"NLA06608-1992",9.37,2041,108
"NLA06608-1998",7.51,378,10.5
"NLA06608-2005",6.14,1398,276
"NLA06608-2007",12.23,1331,59
"NLA06608-2010",4.21,494,24
"NLA06608-2027",8.12,551,49
"NLA06608-2036",3.48,278,11
"NLA06608-2037",6.53,1190,175
"NLA06608-2039",14.6,4691,277
"NLA06608-2049",4.19,276,5
"NLA06608-2056",6.92,2082,572
"NLA06608-2072",12.33,1134,78
"NLA06608-2074",7.02,1004,72
"NLA06608-2076",2.08,124,11
"NLA06608-2078",6.04,569,7
"NLA06608-2082",3.07,496,17
"NLA06608-2086",2.78,276,5
"NLA06608-2087",16.74,2859,197
"NLA06608-2091",2.55,401,53
"NLA06608-2092",7.22,1804,135
"NLA06608-2094",6.55,438,35
"NLA06608-2095",3.02,316,48
"NLA06608-2103",25.25,3503,170
"NLA06608-2114",1.78,402,1
"NLA06608-2117",25.11,5572,169
"NLA06608-2120",12.66,869,28
"NLA06608-2123",13.47,3009,613
"NLA06608-2131",22.46,1820,14
"NLA06608-2134",1.51,211,21
"NLA06608-2135",10.04,1117,24
"NLA06608-2152",4.34,535,29
"NLA06608-2154",5.93,1007,112
"NLA06608-2155",7.9,644,1
"NLA06608-2162",4.52,295,21
"NLA06608-2170",74.59,5109,65
"NLA06608-2177",3.22,334,3
"NLA06608-2185",2.31,188,15
"NLA06608-2187",2.52,366,20
"NLA06608-2193",7.13,294,15
"NLA06608-2196",3.71,407,15
"NLA06608-2217",6.93,300,9
"NLA06608-2219",8.11,634,33
"NLA06608-2241",4.06,256,9
"NLA06608-2250",1.81,140,11
"NLA06608-2253",3.09,3591,86
"NLA06608-2257",3.3,214,6
"NLA06608-2266",8.13,350,21
"NLA06608-2267",8.37,793,25
"NLA06608-2283",5.48,559,7
"NLA06608-2305",6.2,329,9
"NLA06608-2322",3.92,388,31
"NLA06608-2332",6.5,779,318
"NLA06608-2333",2.26,2311,75
"NLA06608-2345",3.77,391,15
"NLA06608-2354",3.14,331,12
"NLA06608-2372",5.91,439,54
"NLA06608-2379",33.93,2076,12
"NLA06608-2418",3.61,366,35
"NLA06608-2426",252.19,25663,1697
"NLA06608-2429",3.15,133,9
"NLA06608-2438",13,1674,636
"NLA06608-2450",2.28,148,3
"NLA06608-2453",5.65,765,283
"NLA06608-2457",3.91,314,16
"NLA06608-2463",3.07,183,6
"NLA06608-2477",17.11,1238,32
"NLA06608-2481",4.79,421,36
"NLA06608-2492",2.89,337,33
"NLA06608-2497",4.17,868,64
"NLA06608-2507",3.76,1101,34
"NLA06608-2513",3.15,259,5
"NLA06608-2523",10.02,1259,56
"NLA06608-2524",4.43,580,33
"NLA06608-2565",4.55,410,19
"NLA06608-2566",10.51,376,9
"NLA06608-2593",14.23,1337,41
"NLA06608-2629",11.72,1188,66
"NLA06608-2634",2.42,278,16
"NLA06608-2640",5.73,1113,48
"NLA06608-2644",5.84,1240,121
"NLA06608-2655",16.59,2286,102
"NLA06608-2657",5.13,488,6
"NLA06608-2663",6.26,561,13
"NLA06608-2673",2.31,423,72
"NLA06608-2685",4.29,169,7
"NLA06608-2696",3.43,733,75
"NLA06608-2704",10.95,1672,105
"NLA06608-2708",3.86,388,12
"NLA06608-2714",73.71,216,8
"NLA06608-2715",5.13,369,36
"NLA06608-2726",2.45,191,5
"NLA06608-2740",2.25,359,121
"NLA06608-2753",19.01,1496,16
"NLA06608-2759",2.36,206,9
"NLA06608-2776",6.09,1144,36
"NLA06608-2779",7.7,713,21
"NLA06608-2797",6.33,664,24
"NLA06608-2800",2.74,235,11
"NLA06608-2801",1.47,339,36
"NLA06608-2807",5.69,660,32
"NLA06608-2823",5.75,751,31
"NLA06608-2824",2.24,794,208
"NLA06608-2831",3.13,738,107
"NLA06608-2833",6.62,640,16
"NLA06608-2874",3.12,487,76
"NLA06608-2881",1.52,50,1
"NLA06608-2889",44.65,1476,577
"NLA06608-2891",8.38,790,8
"NLA06608-2916",3.92,324,15
"NLA06608-2924",5.74,693,13
"NLA06608-2954",8.58,7684,876
"NLA06608-2955",2.9,513,58
"NLA06608-2972",15.93,5350,347
"NLA06608-2987",11.28,1336,29
"NLA06608-2996",8.82,1440,130
"NLA06608-3032",8.21,1543,94
"NLA06608-3035",8.19,738,7
"NLA06608-3083",6.77,685,96
"NLA06608-3096",7.61,559,17
"NLA06608-3121",3.39,455,46
"NLA06608-3147",8.97,999,46
"NLA06608-3153",2.02,116,1
"NLA06608-3157",1.16,70,8
"NLA06608-3160",9.75,2655,237
"NLA06608-3169",13.26,1200,105
"NLA06608-3228",5.14,658,74
"NLA06608-3265",4.05,338,7
"NLA06608-3303",10,1535,81
"NLA06608-3313",2.3,316,41
"NLA06608-3320",6.15,612,88
"NLA06608-3329",3.14,374,10
"NLA06608-3480",10.47,1612,88
"NLA06608-3484",38.16,4319,180
"NLA06608-3608",13.07,1821,191
"NLA06608-3616",5.01,455,15
"NLA06608-3644",34.26,2063,58
"NLA06608-3656",24.91,5813,471
"NLA06608-3660",7.27,2263,1329
"NLA06608-3698",4.79,300,6
"NLA06608-3846",4.15,110,3
"NLA06608-3890",2.78,98,1
"NLA06608-3911",5.88,643,43
"NLA06608-4056",6.55,651,75
"NLA06608-4064",7.05,770,47
"NLA06608-4206",6.73,1627,61
"NLA06608-4252",2.69,188,1
"NLA06608-4320",4.34,1871,177
"NLA06608-4382",5.72,571,35
"NLA06608-4413",3.63,251,8
"NLA06608-4414",4.31,480,38
"NLA06608-4440",5.33,803,38
"NLA06608-4472",4.69,816,282
"NLA06608-4504",7.8,680,32
"NLA06608-4610",5,426,22
"NLA06608-4643",8.1,557,19
"NLA06608-4650",11.18,681,43
"NLA06608-4659",3.7,1247,90
"NLA06608-4686",6.5,446,84
"NLA06608-4698",7.04,1333,142
"NLA06608-4828",5.45,421,24
"NLA06608-4929",7.51,954,121
"NLA06608-4949",3.84,623,82
"NLA06608-9999",2.94,149,1
"NLA06608-ACAD_LAKES_0435",1.92,151,10
"NLA06608-ALPS-1218",11.36,414,14
"NLA06608-ALSC:020149",3.36,191,5
"NLA06608-ELS:1C2-032",4.27,264,11
"NLA06608-ELS:1C3-003",6.59,256,9
"NLA06608-ELS:1D1-035",2.16,444,23
"NLA06608-ELS:1D2-087",6.48,532,35
"NLA06608-ELS:1E1-052",4.38,130,10
"NLA06608-ELS:1E1-096",6.8,236,9
"NLA06608-ELS:1E1-128",4.68,394,8
"NLA06608-ELS:1E2-027",10.42,629,28
"NLA06608-ELS:1E3-002",6.81,731,14
"NLA06608-ELS:1E3-012",2.31,161,4
"NLA06608-ELS:1E3-071",8.15,807,17
"NLA06608-ELS:2B2-008",10.76,299,8
"NLA06608-ELS:2C2-048",5.71,593,8
"NLA06608-ELS:2C3-018",5.65,328,10
"NLA06608-ELS:2D3-008",14.33,722,13
"NLA06608-EMAP:ME011L",7.5,246,13
"NLA06608-EMAP:ME012L",3.48,129,1
"NLA06608-EMAP:ME254L",4.23,204,5
"NLA06608-EMAP:ME263L",7.32,314,11
"NLA06608-EMAP:ME518L",3.54,156,7
"NLA06608-FL:107895579",10.21,985,33
"NLA06608-FL:16674741",1.51,98,8
"NLA06608-FL:18261987",6.98,474,20
"NLA06608-FL:99324403",7.54,801,24
"NLA06608-FL:99344895",5.49,1531,166
"NLA06608-IN:646",4.74,2089,4
"NLA06608-MI:7007",9.03,828,9
"NLA06608-MN:03-0029",7.99,779,9
"NLA06608-MN:06-0002",17.11,2475,271
"NLA06608-MN:11-0102",9.2,447,9
"NLA06608-MN:15-0010",7.06,529,9
"NLA06608-MN:22-0074",8.59,1175,62
"NLA06608-MN:49-0140",6.01,595,7
"NLA06608-MN:51-0063",7.45,1174,140
"NLA06608-MN:56-0306",4.94,540,8
"NLA06608-MN:61-0037",6.47,835,19
"NLA06608-MN:74-0023",6.45,880,34
"NLA06608-MN:75-0200",14.5,2647,446
"NLA06608-MN:77-0019",9.07,1065,17
"NLA06608-MN:87-0030",13.31,1987,82
"NLA06608-NELP-0253",2.95,183,4
"NLA06608-NELP-0955",2.94,118,1
"NLA06608-NELP-1041",4.51,286,9
"NLA06608-NELP-1330",2.93,168,1
"NLA06608-NELP-2155",3.04,146,1
"NLA06608-NELP-3355",3.92,216,4
"NLA06608-NELP-3586",3.19,138,3
"NLA06608-NH250L",3.51,292,12
"NLA06608-NH4912",1.91,177,4
"NLA06608-NV:2",1.57,124,11
"NLA06608-NV:3",2.08,223,7
"NLA06608-NV:4",16.25,3225,154
"NLA06608-OH:19",5.85,500,17
"NLA06608-OH:22",2.42,244,3
"NLA06608-R10BULLTR",1.21,88,3
"NLA06608-R10CAPEHO",3.69,318,10
"NLA06608-R10CHARLT",0.65,136,1
"NLA06608-R10COUNCI",0.68,39,1
"NLA06608-R10DEERLA",1.71,191,4
"NLA06608-R10FISHLA",2.42,279,13
"NLA06608-R10FOURMI",1.4,143,4
"NLA06608-R10RAINYL",0.37,56,3
"NLA06608-R10SQUAWL",2.31,150,4
"NLA06608-R10ULAKE",5.35,312,10
"NLA06608-R10YELLOW",1.03,36,3
"NLA06608-R31",2.23,1103,8
"NLA06608-R314",3.01,230,11
"NLA06608-R315",1.37,101,4
"NLA06608-R318",2.54,235,8
"NLA06608-R319",14.01,531,37
"NLA06608-R32",1.56,505,3
"NLA06608-R322",1.65,219,7
"NLA06608-R323",5.12,629,26
"NLA06608-R324",3.58,366,6
"NLA06608-R326",5.54,740,31
"NLA06608-R328",3.05,277,9
"NLA06608-R333",3.15,366,22
"NLA06608-R334",4.42,311,12
"NLA06608-R336",3.09,169,4
"NLA06608-R34",2.15,309,3
"NLA06608-R5:KATHRYN",5.28,405,7
"NLA06608-R5:OTTAWA",2.38,148,3
"NLA06608-R7101",29.38,6880,363
"NLA06608-R7103",27.8,9359,839
"NLA06608-R7104",33.43,4166,1719
"NLA06608-R7106",7.25,1281,318
"NLA06608-R715",5.55,1205,54
"NLA06608-R716",3.99,544,23
"NLA06608-R723",3.73,380,20
"NLA06608-R728",4.69,333,19
"NLA06608-R730",2.86,513,37
"NLA06608-R733",5.89,637,62
"NLA06608-R736",3.79,389,26
"NLA06608-R746",4.29,408,37
"NLA06608-R750",5.07,983,80
"NLA06608-R759",6.73,611,17
"NLA06608-R764",3.79,350,14
"NLA06608-R767",2.8,203,10
"NLA06608-R769",2.87,316,8
"NLA06608-R770",2.43,223,5
"NLA06608-R772",4.76,351,16
"NLA06608-R775",4.06,326,10
"NLA06608-R784",5.08,789,31
"NLA06608-R788",32.11,3172,650
"NLA06608-R791",271.1,25638,2147
"NLA06608-R792",69.46,8647,393
"NLA06608-R796",39.87,7925,495
"NLA06608-TX:10",4.89,767,63
"NLA06608-TX:14",4.87,468,16
"NLA06608-TX:15",6.46,484,14
"NLA06608-TX:19",7.41,1069,72
"NLA06608-TX:22",4.43,258,11
"NLA06608-TX:27",8.2,933,69
"NLA06608-TX:29",3.99,308,8
"NLA06608-TX:30",9.6,1433,181
"NLA06608-TX:5",5.95,683,74
"NLA06608-WI:LOWES",6.68,1566,67
"NLA06608-WI:SY",12.07,905,49
